,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,2,5.0,2,4.0,3.0,4.0,1,1.0,0,2.0,3.0,7.0,1.0,1
1,1,2,5.0,3,5.0,1.0,3.0,1,3.0,0,2.0,3.0,7.0,1.0,2
2,2,1,3.0,5,4.0,1.0,5.0,1,2.0,1,1.0,1.0,7.0,1.0,8
3,3,2,3.0,5,4.0,4.0,4.0,1,2.0,0,1.0,1.0,7.0,1.0,4
4,4,1,3.0,6,4.0,8.0,5.0,1,1.0,0,2.0,3.0,7.0,1.0,4
5,5,1,1.0,5,6.0,4.0,5.0,2,2.0,0,1.0,1.0,7.0,1.0,8
6,6,1,1.0,1,5.0,8.0,5.0,2,3.0,0,2.0,1.0,3.0,2.0,3
7,7,2,3.0,3,4.0,1.0,3.0,1,4.0,3,2.0,1.0,3.0,1.0,4
9,9,2,1.0,7,4.0,8.0,5.0,3,2.0,0,1.0,2.0,5.0,2.0,6
10,10,1,1.0,4,5.0,1.0,4.0,2,2.0,0,1.0,1.0,7.0,1.0,9
11,11,1,1.0,4,4.0,1.0,5.0,2,3.0,0,1.0,1.0,7.0,1.0,8
12,12,1,5.0,2,4.0,3.0,1.0,1,1.0,0,2.0,3.0,7.0,1.0,4
13,13,1,1.0,3,4.0,1.0,2.0,3,2.0,0,2.0,1.0,7.0,1.0,5
14,14,1,2.0,2,3.0,3.0,2.0,1,2.0,0,2.0,1.0,5.0,2.0,8
15,15,1,5.0,4,5.0,4.0,5.0,1,1.0,0,2.0,3.0,7.0,1.0,3
16,16,1,5.0,3,4.0,3.0,2.0,1,4.0,0,2.0,5.0,7.0,1.0,5
17,17,1,5.0,1,2.0,6.0,5.0,1,4.0,1,3.0,1.0,2.0,1.0,1
18,18,2,5.0,2,5.0,4.0,5.0,1,1.0,0,2.0,3.0,7.0,1.0,3
19,19,2,3.0,4,4.0,1.0,5.0,1,4.0,2,2.0,1.0,3.0,1.0,7
20,20,2,2.0,3,5.0,5.0,3.0,1,2.0,0,2.0,1.0,1.0,1.0,3
21,21,1,5.0,4,6.0,3.0,5.0,1,1.0,0,1.0,4.0,7.0,1.0,6
22,22,1,5.0,3,3.0,1.0,5.0,1,4.0,0,2.0,3.0,3.0,1.0,3
23,23,2,5.0,2,4.0,6.0,5.0,1,2.0,0,2.0,3.0,6.0,1.0,1
24,24,1,1.0,3,4.0,1.0,5.0,2,3.0,1,2.0,1.0,7.0,1.0,5
25,25,1,1.0,3,4.0,1.0,5.0,2,3.0,1,1.0,1.0,7.0,1.0,9
26,26,2,3.0,4,6.0,1.0,5.0,1,4.0,1,1.0,1.0,7.0,1.0,8
27,27,2,1.0,4,3.0,1.0,5.0,2,5.0,2,1.0,1.0,5.0,2.0,5
28,28,2,5.0,2,4.0,1.0,5.0,1,5.0,0,2.0,1.0,7.0,1.0,1
29,29,2,5.0,1,1.0,6.0,3.0,1,3.0,0,3.0,3.0,3.0,1.0,1
30,30,1,5.0,1,2.0,6.0,5.0,1,9.0,5,3.0,1.0,5.0,1.0,1
31,31,2,3.0,3,3.0,3.0,2.0,1,3.0,2,2.0,3.0,7.0,1.0,1
32,32,1,1.0,5,5.0,1.0,5.0,2,2.0,0,2.0,2.0,7.0,1.0,8
33,33,2,1.0,3,6.0,1.0,5.0,2,2.0,0,2.0,1.0,7.0,1.0,7
34,34,2,4.0,6,3.0,1.0,5.0,1,1.0,0,1.0,1.0,7.0,1.0,6
35,35,2,5.0,2,3.0,6.0,4.0,1,4.0,1,3.0,1.0,7.0,1.0,1
37,37,2,2.0,2,3.0,4.0,2.0,1,5.0,1,3.0,1.0,2.0,3.0,2
38,38,2,3.0,5,4.0,1.0,5.0,1,1.0,0,1.0,1.0,3.0,1.0,5
39,39,1,5.0,3,5.0,3.0,5.0,1,7.0,0,2.0,3.0,5.0,1.0,5
40,40,2,1.0,6,3.0,4.0,5.0,2,3.0,1,2.0,1.0,7.0,1.0,5
41,41,1,5.0,2,4.0,7.0,3.0,1,1.0,0,3.0,5.0,7.0,1.0,2
42,42,2,1.0,4,2.0,5.0,5.0,2,5.0,2,2.0,1.0,5.0,2.0,6
43,43,2,1.0,4,3.0,5.0,2.0,3,2.0,0,2.0,3.0,7.0,3.0,8
44,44,2,1.0,6,3.0,4.0,5.0,2,3.0,0,1.0,1.0,7.0,1.0,8
45,45,2,5.0,3,5.0,4.0,2.0,1,2.0,0,2.0,3.0,7.0,1.0,4
46,46,2,1.0,7,6.0,8.0,4.0,3,2.0,0,1.0,2.0,7.0,1.0,8
47,47,2,1.0,4,4.0,4.0,5.0,2,5.0,1,1.0,1.0,8.0,1.0,6
48,48,2,1.0,5,3.0,1.0,5.0,2,2.0,0,1.0,1.0,7.0,1.0,4
50,50,1,5.0,2,3.0,6.0,3.0,1,5.0,0,3.0,3.0,5.0,1.0,9
51,51,2,5.0,1,2.0,6.0,5.0,1,3.0,1,3.0,1.0,7.0,1.0,1
52,52,1,1.0,4,5.0,1.0,5.0,2,3.0,1,1.0,1.0,2.0,1.0,8
53,53,2,5.0,1,2.0,6.0,4.0,1,5.0,1,3.0,1.0,7.0,1.0,1
