,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,2,5,2,4,3,4,1,1,0,2,3,7,1,1
1,2,5,3,5,1,3,1,3,0,2,3,7,1,2
2,1,3,5,4,1,5,1,2,1,1,1,7,1,8
3,2,3,5,4,4,,1,2,0,1,1,7,1,4
4,1,3,6,4,8,5,1,1,0,2,3,7,1,4
5,1,1,5,6,4,5,2,2,0,1,1,7,1,8
6,1,1,1,5,8,5,2,3,0,2,1,3,2,3
7,2,3,3,4,1,3,1,4,3,2,1,3,1,4
8,2,,2,3,1,5,1,3,1,1,2,7,1,6
9,2,1,7,4,8,5,3,2,0,1,2,5,2,6
10,1,1,4,5,1,,2,2,0,1,1,7,1,9
11,1,1,4,4,1,5,2,3,0,1,1,7,1,8
12,1,5,2,4,3,1,1,1,0,2,3,7,1,4
13,1,1,3,4,1,2,3,2,0,2,1,7,1,5
14,1,2,2,3,3,2,1,2,0,2,1,5,2,8
15,1,5,4,5,4,5,1,1,0,2,3,7,1,3
16,1,5,3,4,3,2,1,4,0,2,5,7,1,5
17,1,5,1,2,6,5,1,4,1,3,1,2,1,1
18,2,5,2,5,4,5,1,1,0,2,3,7,1,3
19,2,3,4,4,1,5,1,4,2,2,1,3,1,7
20,2,2,3,5,5,3,1,2,0,2,1,1,1,3
21,1,5,4,6,3,5,1,1,0,1,4,7,1,6
22,1,5,3,3,1,5,1,4,0,2,3,3,1,3
23,2,5,2,4,6,5,1,,0,2,3,6,1,1
24,1,1,3,4,1,5,2,3,1,2,1,7,1,5
25,1,1,3,4,1,5,2,3,1,1,1,7,1,9
26,2,3,4,6,1,5,1,4,1,1,1,7,1,8
27,2,1,4,3,1,5,2,5,2,1,1,5,2,5
28,2,5,2,4,1,5,1,5,0,2,1,7,1,1
29,2,5,1,1,6,,1,,0,3,3,3,1,1
30,1,5,1,2,6,5,1,9,5,3,1,5,1,1
31,2,3,3,3,3,2,1,3,2,2,3,7,1,1
32,1,1,5,5,1,5,2,2,0,2,2,7,1,8
33,2,1,3,6,1,5,2,2,0,2,1,7,1,7
34,2,4,6,3,1,5,1,1,0,1,,7,1,6
35,2,5,2,3,6,4,1,4,1,3,1,7,1,1
36,2,1,4,,4,,2,5,3,2,1,5,1,6
37,2,2,2,3,4,2,1,5,1,3,1,2,3,2
38,2,3,5,4,1,5,1,1,0,1,1,3,1,5
39,1,5,3,5,3,5,1,7,0,2,3,5,,5
40,2,1,6,3,4,5,2,3,1,2,1,7,1,5
41,1,5,2,4,7,3,1,1,0,3,5,7,1,2
42,2,1,4,2,5,5,2,5,2,2,1,5,2,6
43,2,1,4,3,5,2,3,2,0,2,3,7,3,8
44,2,1,6,3,4,5,2,3,0,1,1,7,1,8
45,2,5,3,5,4,2,1,2,0,2,3,7,1,4
46,2,1,7,6,8,,3,2,0,1,2,7,1,8
47,2,1,4,4,4,5,2,5,1,1,1,8,1,6
48,2,1,5,3,1,5,2,2,0,1,1,7,1,4
49,1,5,3,4,,5,1,2,0,2,3,7,1,5
50,1,5,2,3,6,3,1,5,0,3,3,5,1,9
51,2,5,1,2,6,5,1,3,1,3,1,7,1,1
52,1,1,4,5,1,5,2,3,1,1,1,2,1,8
53,2,5,1,2,6,,1,5,1,3,1,7,1,1
54,1,5,2,4,2,,1,7,2,3,1,6,1,8
55,2,,1,1,6,5,1,4,3,3,1,5,1,1
56,2,3,6,5,1,5,1,2,0,1,1,7,1,3
57,2,1,3,4,6,5,3,3,1,1,1,7,1,9
58,1,5,2,3,5,5,1,1,0,2,3,2,1,5
59,1,1,7,3,4,4,2,2,0,1,4,7,1,4
60,1,5,1,2,9,4,1,6,3,3,1,3,1,1
61,2,5,3,6,1,5,1,2,0,2,3,7,1,5
62,2,5,2,4,6,2,1,3,0,2,3,7,1,1
63,2,2,5,6,1,5,2,2,0,1,2,7,1,9
64,2,3,4,4,7,1,1,1,0,,5,3,1,3
65,2,1,2,3,5,4,1,6,1,3,3,3,1,1
66,2,2,3,3,5,3,2,2,0,2,3,5,2,1
67,1,5,4,1,3,1,1,1,0,3,1,5,2,1
68,2,1,4,3,4,5,2,3,1,1,1,3,1,8
69,1,5,1,2,6,5,1,3,1,3,1,7,1,1
70,1,5,1,2,6,5,1,4,1,3,1,7,1,1
71,1,1,2,3,4,,2,2,0,2,3,5,1,4
72,1,1,4,1,1,5,2,5,3,1,1,5,2,7
73,2,1,5,4,5,5,2,5,2,1,1,7,1,9
74,2,1,4,4,4,5,2,5,3,2,1,7,,8
75,1,3,6,4,8,5,1,1,0,2,3,7,1,8
76,1,5,3,4,3,2,1,5,1,2,3,7,1,2
77,2,5,1,2,6,5,1,4,2,3,1,5,2,1
78,1,5,3,3,3,5,1,3,0,3,1,5,2,5
79,2,5,3,5,1,2,1,3,0,2,3,7,1,8
80,1,5,2,3,7,2,1,1,0,,5,7,1,2
81,2,5,4,4,4,5,1,2,0,2,3,7,1,5
82,1,5,1,2,6,2,1,2,1,3,3,7,1,1
83,1,5,3,5,6,5,1,1,0,2,3,2,1,2
84,1,5,5,4,3,5,1,1,0,1,1,7,1,3
85,2,3,3,4,1,3,1,3,1,2,1,7,1,3
86,1,5,2,3,3,5,1,6,3,2,,5,1,8
87,2,5,4,6,1,2,1,1,0,2,3,7,1,2
88,2,1,5,4,5,4,3,3,0,1,1,7,1,8
89,2,1,2,4,1,5,2,2,0,1,1,3,1,8
90,2,5,1,2,6,5,1,6,2,3,3,3,1,1
91,2,1,4,4,4,5,2,4,2,1,1,7,1,9
92,2,5,2,5,9,5,1,5,2,3,1,7,1,9
93,2,5,2,3,1,4,1,2,0,3,1,7,1,5
94,2,5,5,6,1,5,1,2,0,1,1,7,1,8
95,2,5,1,2,6,5,1,4,2,3,1,7,1,1
96,2,5,3,5,1,,1,1,0,2,3,7,1,8
97,2,5,1,1,9,5,1,3,1,2,5,5,1,8
98,1,1,3,5,5,5,2,2,0,2,3,7,1,5
99,2,,1,2,6,5,1,3,1,3,2,2,1,1
100,1,2,3,4,1,5,1,2,0,2,3,7,1,5
101,2,1,5,5,1,5,2,,0,1,1,7,1,8
102,2,1,6,4,8,,3,2,0,1,1,7,1,1
103,2,1,4,3,2,5,2,3,1,2,3,7,1,7
104,1,1,5,5,1,,2,2,0,1,1,7,1,9
105,2,1,3,3,1,5,2,2,0,1,2,6,1,8
106,1,5,2,4,3,2,1,2,0,2,3,7,1,3
107,2,5,2,2,6,5,1,5,3,1,1,7,1,1
108,1,3,4,6,9,2,1,,0,2,,7,1,1
109,2,1,3,5,4,3,1,2,0,1,1,7,1,3
110,1,1,4,4,1,5,2,3,0,2,3,3,1,8
111,2,1,3,4,2,5,2,2,0,1,1,1,1,9
112,1,4,6,4,8,4,1,1,0,1,1,7,1,3
113,2,5,1,1,6,5,1,9,6,3,1,8,1,1
114,2,1,4,4,4,5,2,4,0,1,1,3,1,7
115,1,1,7,3,8,5,3,2,0,1,1,7,1,6
116,1,3,3,6,1,5,1,1,0,1,1,1,1,9
117,2,1,3,4,1,5,2,4,2,1,1,7,1,6
118,1,5,1,2,6,5,1,5,3,3,1,5,1,1
119,2,5,1,2,6,5,1,6,4,3,1,7,1,1
120,2,1,3,3,2,5,2,2,0,1,1,5,2,5
121,2,1,5,5,1,4,2,2,0,1,1,7,1,7
122,2,1,5,5,4,5,2,3,0,1,1,8,1,6
123,2,5,1,1,9,5,1,5,3,3,1,7,1,5
124,1,1,6,6,1,5,2,2,0,1,1,7,1,9
125,2,3,5,3,1,2,1,2,0,1,2,7,1,7
126,1,5,2,3,,5,1,2,0,3,3,3,1,4
127,2,5,3,4,9,4,1,,0,2,3,7,1,1
128,2,1,4,4,5,,3,4,2,2,2,3,1,7
129,1,1,7,3,8,5,3,3,0,1,1,7,1,3
130,2,1,4,5,5,5,3,4,2,1,1,7,1,7
131,1,1,3,6,1,2,2,2,0,2,3,7,1,6
132,1,3,7,5,1,5,1,,0,,4,7,1,4
133,1,5,3,3,6,2,1,3,0,2,3,3,1,2
134,2,1,4,4,5,5,3,3,1,1,1,7,1,6
135,2,5,2,3,6,5,1,5,1,3,1,6,1,1
136,2,1,4,3,7,,2,4,2,2,1,7,1,5
137,2,4,6,3,8,5,1,1,0,1,1,7,1,6
138,2,1,5,3,5,5,3,4,2,1,1,7,1,7
139,1,1,3,4,1,3,2,3,1,2,1,7,1,6
140,1,2,3,2,4,5,2,2,2,2,5,5,1,2
141,1,5,3,5,9,5,1,2,0,1,1,3,1,1
142,1,5,2,4,2,5,1,5,0,3,1,7,1,2
143,2,4,6,2,8,,1,,0,3,,7,1,1
144,2,5,3,5,2,2,1,1,0,2,3,7,1,7
145,2,2,3,5,1,5,1,2,0,1,2,7,1,9
146,1,5,2,2,6,5,1,5,2,3,1,5,2,7
147,1,1,7,6,8,5,3,2,0,2,,7,1,8
148,1,5,4,4,5,5,1,1,0,2,3,7,1,3
149,2,5,1,2,4,5,1,4,2,3,1,5,1,1
150,2,3,4,6,4,2,1,1,0,2,3,7,1,2
151,2,5,3,6,1,1,1,2,0,2,3,7,1,9
152,1,3,4,6,1,5,1,1,0,2,,3,1,7
153,2,1,7,,8,5,3,2,0,1,4,7,1,6
154,2,1,4,4,5,5,3,4,2,1,1,7,1,7
155,2,1,5,4,1,2,2,2,0,2,,1,1,8
156,1,5,4,4,3,5,1,1,0,2,3,7,1,2
157,1,1,5,3,1,5,2,3,1,1,1,7,1,7
158,2,5,3,,,3,1,4,1,2,3,3,1,5
159,2,1,3,3,1,,2,4,2,2,3,2,1,8
160,2,1,4,4,1,5,2,2,0,1,1,7,1,9
161,2,5,3,4,1,2,1,2,0,2,1,7,1,2
162,2,5,2,4,6,4,1,1,0,2,3,7,1,1
163,2,4,6,3,4,5,1,1,0,1,4,7,1,4
164,1,1,3,4,1,5,1,1,0,2,3,7,1,2
165,1,5,3,5,1,2,1,4,0,2,3,7,1,1
166,2,1,5,3,5,5,3,3,0,1,,7,1,9
167,2,1,6,4,1,5,3,2,0,1,2,7,1,9
168,1,1,7,3,8,,3,2,0,1,4,7,1,4
169,2,5,2,4,6,5,1,7,0,1,1,2,1,7
170,2,5,1,2,3,4,1,7,3,3,2,7,1,1
